Country,"Per capita energy, 1987 (GJ/cap)","Per capita energy, 2017 (GJ/cap)","Per capita energy, 2050 (GJ/cap)"
China,23.2162361624,95.1212121212,174.216685676
USA,310.77919934,287.127037835,261.109660179
India,7.87019641332,23.5281553398,40.7519101589
Africa,14.5596140593,15.145659164,15.7903087792
Russia,246.645647704,209.476816609,168.591102405
Brazil,35.9190915543,60.1501443696,86.8043024664
Canada,382.366729679,395.862068966,410.706942181
Japan,132.363636364,150.776025237,171.029652997
Germany,197.475578406,164.495767836,128.217976208
